"","x"
"1",1
"2",3
"3",1
"4",1
"5",1
"6",1
"7",3
"8",2
"9",2
"10",2
"11",2
"12",3
"13",3
"14",1
"15",3
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",3
"23",3
"24",3
"25",3
"26",3
"27",2
"28",3
"29",1
"30",1
"31",3
"32",3
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",2
"42",3
"43",2
"44",3
"45",3
"46",3
"47",3
"48",2
"49",3
"50",3
"51",3
"52",1
"53",3
"54",1
"55",3
"56",3
"57",3
"58",3
"59",1
"60",2
"61",1
"62",3
"63",1
"64",1
"65",3
"66",3
"67",3
"68",2
"69",3
"70",2
"71",1
"72",3
"73",1
"74",3
"75",2
"76",2
"77",2
"78",2
"79",2
"80",3
"81",2
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",3
"93",3
"94",1
"95",3
"96",2
"97",3
"98",2
"99",3
"100",1
"101",2
"102",2
"103",1
"104",1
"105",3
"106",2
"107",3
"108",3
"109",3
"110",3
"111",1
"112",3
"113",2
"114",1
"115",3
"116",3
"117",3
"118",2
"119",1
"120",3
"121",2
"122",2
"123",2
"124",2
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",2
"137",3
"138",3
"139",2
"140",2
"141",2
"142",2
"143",1
"144",3
"145",3
"146",3
"147",1
"148",3
"149",2
"150",1
"151",2
"152",1
"153",2
"154",2
"155",2
"156",1
"157",3
"158",3
"159",3
"160",3
"161",2
"162",2
"163",2
"164",3
"165",2
"166",2
"167",2
"168",3
"169",3
"170",1
"171",1
"172",1
"173",2
"174",2
"175",3
"176",3
"177",1
"178",3
"179",1
"180",2
"181",3
"182",1
"183",1
"184",3
"185",2
"186",2
"187",3
"188",1
"189",3
"190",2
"191",3
"192",3
"193",1
"194",1
"195",3
"196",3
"197",3
"198",1
"199",2
"200",2
"201",3
"202",3
"203",3
"204",3
"205",3
"206",3
"207",3
"208",1
"209",1
"210",3
"211",3
"212",3
"213",3
"214",2
"215",1
"216",3
"217",3
"218",1
"219",3
"220",1
"221",3
"222",1
"223",3
"224",2
"225",3
"226",3
"227",2
"228",2
"229",3
