"","x"
"1",1
"2",2
"3",1
"4",1
"5",4
"6",1
"7",2
"8",3
"9",2
"10",2
"11",2
"12",1
"13",2
"14",1
"15",2
"16",1
"17",1
"18",1
"19",4
"20",1
"21",1
"22",2
"23",2
"24",2
"25",2
"26",2
"27",1
"28",1
"29",4
"30",1
"31",3
"32",1
"33",1
"34",1
"35",1
"36",4
"37",4
"38",4
"39",4
"40",2
"41",2
"42",1
"43",2
"44",2
"45",2
"46",2
"47",2
"48",2
"49",2
"50",2
"51",1
"52",1
"53",4
"54",2
"55",2
"56",4
"57",2
"58",2
"59",4
"60",4
"61",4
"62",4
"63",1
"64",4
"65",4
"66",4
"67",1
"68",2
"69",1
"70",4
"71",4
"72",1
"73",1
"74",2
"75",4
"76",2
"77",2
"78",4
"79",4
"80",2
"81",1
"82",4
"83",4
"84",1
"85",1
"86",4
"87",4
"88",4
"89",3
"90",1
"91",4
"92",2
"93",1
"94",2
"95",3
"96",3
"97",3
"98",2
"99",3
"100",1
"101",2
"102",4
"103",1
"104",4
"105",4
"106",4
"107",2
"108",2
"109",1
"110",1
"111",4
"112",1
"113",2
"114",1
"115",2
"116",2
"117",1
"118",4
"119",3
"120",2
"121",4
"122",2
"123",2
"124",2
"125",1
"126",4
"127",4
"128",4
"129",1
"130",1
"131",1
"132",1
"133",1
"134",4
"135",1
"136",4
"137",2
"138",1
"139",3
"140",2
"141",4
"142",2
"143",1
"144",2
"145",2
"146",2
"147",1
"148",4
"149",4
"150",1
"151",2
"152",1
"153",3
"154",4
"155",2
"156",1
"157",1
"158",2
"159",1
"160",2
"161",3
"162",2
"163",3
"164",2
"165",2
"166",3
"167",3
"168",2
"169",3
"170",1
"171",4
"172",4
"173",4
"174",3
"175",4
"176",1
"177",4
"178",1
"179",4
"180",4
"181",2
"182",2
"183",1
"184",2
"185",4
"186",3
"187",2
"188",4
"189",4
"190",3
"191",4
"192",1
"193",2
"194",1
"195",2
"196",1
"197",4
"198",1
"199",2
"200",2
"201",1
"202",2
"203",2
"204",4
"205",3
"206",4
"207",1
"208",1
"209",4
"210",4
"211",2
"212",3
"213",4
"214",3
"215",1
"216",2
"217",4
"218",1
"219",2
"220",1
"221",2
"222",1
"223",2
"224",2
"225",2
"226",4
"227",3
"228",2
"229",2
