"","x"
"1",1
"2",2
"3",1
"4",1
"5",1
"6",1
"7",2
"8",3
"9",3
"10",3
"11",3
"12",2
"13",2
"14",1
"15",2
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",2
"23",2
"24",2
"25",2
"26",2
"27",3
"28",2
"29",1
"30",1
"31",2
"32",2
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",2
"41",3
"42",2
"43",3
"44",2
"45",2
"46",2
"47",2
"48",3
"49",2
"50",2
"51",2
"52",1
"53",2
"54",2
"55",2
"56",2
"57",2
"58",2
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",2
"66",1
"67",2
"68",3
"69",2
"70",3
"71",1
"72",2
"73",1
"74",2
"75",3
"76",3
"77",2
"78",3
"79",3
"80",2
"81",3
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",2
"90",1
"91",1
"92",2
"93",1
"94",1
"95",2
"96",3
"97",1
"98",2
"99",2
"100",1
"101",3
"102",3
"103",1
"104",1
"105",1
"106",2
"107",2
"108",2
"109",2
"110",2
"111",1
"112",2
"113",3
"114",1
"115",2
"116",2
"117",2
"118",3
"119",1
"120",2
"121",3
"122",3
"123",3
"124",3
"125",2
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",3
"137",2
"138",2
"139",3
"140",1
"141",3
"142",3
"143",1
"144",2
"145",2
"146",2
"147",1
"148",2
"149",3
"150",1
"151",3
"152",1
"153",2
"154",3
"155",3
"156",1
"157",2
"158",2
"159",2
"160",2
"161",3
"162",2
"163",3
"164",2
"165",3
"166",3
"167",3
"168",2
"169",2
"170",1
"171",1
"172",1
"173",3
"174",3
"175",2
"176",2
"177",1
"178",2
"179",1
"180",3
"181",2
"182",2
"183",1
"184",2
"185",3
"186",3
"187",2
"188",1
"189",2
"190",3
"191",2
"192",2
"193",1
"194",1
"195",2
"196",2
"197",2
"198",1
"199",3
"200",3
"201",2
"202",2
"203",2
"204",1
"205",2
"206",2
"207",2
"208",1
"209",1
"210",2
"211",2
"212",2
"213",2
"214",3
"215",1
"216",2
"217",1
"218",1
"219",2
"220",1
"221",2
"222",1
"223",2
"224",3
"225",2
"226",2
"227",3
"228",2
"229",2
