"","x"
"Dichomitus",0.281864458
"Didymella",0.031061958
"Dinemasporium",0.010520504
"Dioszegia",0.403348402
"Diplomitoporus",0.002869266
"Dipodascus",0.053792426
"Dirkmeia",0.02608269
"Dissoconium",0
"Donkioporia",0.042353253
"Dothistroma",0
"Dumontinia",0.001162525
"Earliella",19.20503546
"Efibula",0.027327778
"Elytroderma",0
"Emericella",0.009822038
"Encoelia",0
"Entoloma",0.001079549
"Entomocorticium",0.05085755
"Epicoccum",4.578578926
"Erythrobasidium",0.0795968
"Eupenidiella",13.412630666
"Eutypa",0.092056615
"Eutypella",0.01587576
"Exidia",0
"Exophiala",16.697386097
"Exserohilum",0.029300535
"Fibroporia",0
"Filobasidium",0.004325402
"Flammulina",0.00151578
"Flavodon",1.143785829
"Flavomyces",0.023265378
"Fomes",0.008908281
"Fomitella",0.004147096
"Fomitiporella",1.133568427
"Fomitiporia",0.005404935
"Fomitopsis",6.130784712
"Fulvifomes",0.008700029
"Funalia",0.001730377
"Fusarium",1.089516849
"Fuscoporia",4.474129078
"Galerina",0.004104664
"Ganoderma",13.271084798
"Geastrum",0.044632918
"Geosmithia",0.109693502
"Gibberella",0.004893936
"Glarea",0.018783912
"Gloeocystidiellum",0.001658839
"Gloeophyllum",0
"Gloeoporus",0.04418851
"Grammothele",36.332045918
"Graphiopsis",0.000464045
"Guehomyces",0
"Gymnopilus",7.366305298
"Gymnopus",0
"Gyoerffyella",0
"Gyrodontium",4.339627988
"Hannaella",0.020616993
"Hanseniaspora",0.403730286
"Helgardia",0.032675467
"Hemimycena",0
"Heterobasidion",0
"Heterochaete",0.09517745
"Heterodermia",0.001079549
"Heterophoma",0.003152084
"Heterospora",0.00119937
"Histoplasma",0.866961898
"Holtermanniella",0.453461011
"Hydnellum",0.000947908
"Hydnochaete",0.058986567
"Hygrophorus",0.001801191
"Hymenochaete",1.49468031
"Hymenoscyphus",0.018071989
"Hyphoderma",0.209163711
"Hyphodermella",6.79107862
"Hyphodiscus",0.001847765
"Hyphodontia",11.720859155
"Hypholoma",0.038404805
"Hypocenomyce",0.000600397
"Hypochnicium",1.228897425
"Hypoxylon",8.858564578
"Ilyonectria",0.007951856
"Inonotus",0.050749593
"Irpex",0.001267731
"Isaria",0.046747567
"Issatchenkia",104.297680682
"Itersonilia",0.056085129
"Johnalcornia",0.002280369
"Kabatiella",0.003274013
"Kazachstania",0.002044323
"Kendrickiella",0.000414647
"Kluyveromyces",3.215343099
"Kodamaea",63.29019111
"Kuehneromyces",0.001268627
"Laccaria",0.001375846
"Lachnum",0.011948424
"Lambertella",0.018245805
"Lecanicillium",0.008824929
"Lecanora",0.003103817
"Lecanosticta",0
"Lentinula",0.000110296
"Lentinus",1.280627781
"Leohumicola",0.001891446
"Leptosphaeria",0.013185468
"Leptospora",7.13527106
"Leptosporomyces",0.021956816
"Letendraea",0.091506785
"Leucoagaricus",0.000829419
"Leucosporidium",0.095811307
"Lodderomyces",0.873430534
"Lophiostoma",0.568997578
"Lophodermium",0.001559549
"Lycoperdon",0.038843547
"Macrohyporia",0.005331981
"Macroventuria",0.023532318
"Magnusiomyces",13.085057187
"Malassezia",41.245816385
"Marasmius",0.757758097
"Medicopsis",0.388859443
"Megasporia",0.007464773
"Megasporoporia",10.313290509
"Meliniomyces",0.003030034
"Melogramma",0.107277268
"Metschnikowia",0.068708173
"Meyerozyma",31.122805842
"Microdiplodia",0.008997333
"Microdochium",0.004380746
"Microporus",1.785705655
"Moellerodiscus",0.750803372
"Mollisia",0
"Monographella",5.078569117
"Monticola",7.078627012
"Mrakiella",0.005954816
"Mucor",0.017335068
"Mycopappus",0.004098117
"Mycosphaerella",70.25924453
"Myrmecridium",0.010435146
"Myrothecium",1.105822963
"Naganishia",0
"Nemania",1.540793336
"Neobulgaria",0
"Neodeightoniella",1.037129409
"Neofavolus",0.000425447
"Neofomitella",5.437046252
"Neokalmusia",0.001411654
"Neophysalospora",0.000450298
"Neostagonospora",0
"Neurospora",0.003554654
"Nigroporus",0.000719205
"Oculimacula",0
"Ophioceras",0.001658839
"Oxyporus",0.005213493
"Pachylepyrium",0.000663206
"Palmiascoma",0
"Paracamarosporium",0.001160113
"Paraconiothyrium",0.022429172
"Paraphoma",0
"Parastagonospora",0
"Passalora",0.636483624
"Paxillus",0.572605922
"Penicilliopsis",0.000464045
"Penicillium",244.221072084
"Penidiella",0.001114692
"Peniophora",15.72797189
"Peniophorella",0.099324826
"Perenniporia",0.300482727
"Perenniporiella",0.004741937
"Periconia",7.729347603
"Pestalotiopsis",3.071023554
"Peyronellaea",41.084786156
"Pezoloma",0.000534151
"Phaeoacremonium",0.380119961
"Phaeosphaeria",17.43214237
"Phanerochaete",10.466515271
"Phellinus",50.601903414
"Phialemoniopsis",0.007824451
"Phialemonium",0
"Phlebia",40.970551723
"Phlebiopsis",36.118744216
"Phlebiporia",0.014100128
"Pholiota",0.000959076
"Phoma",0.157148162
"Phyllosticta",0.000464045
"Physalacria",0.000829419
"Pichia",0.119667459
"Pilatoporus",4.570182885
"Pilidiella",0.00283175
"Piloderma",0.070361556
"Pithomyces",0
"Plectosphaerella",0.00151234
"Pleurotus",0.021677426
"Plicaturopsis",0.013503957
"Pneumocystis",0
"Poculum",0.232462177
"Polyporus",1.506147222
"Polyscytalum",0.163377336
"Porostereum",3.017707163
"Preussia",0.000829419
"Priceomyces",0.000212877
"Psathyrella",17.793654642
"Pseudallescheria",0.018256914
"Pseudocercospora",1.260346744
"Pseudogymnoascus",0
"Pseudolagarobasidium",0.463969829
"Pseudoramichloridium",0.001434633
"Pseudoteratosphaeria",0.003436166
"Pseudoveronaea",0
"Pseudozyma",0.0034863
"Psilocybe",3.240867266
"Purpureocillium",0.000895261
"Pyrenochaeta",0.005369947
"Pyrenopeziza",0.001298586
"Pyrenophora",0.026140374
"Pyrenula",0.008412681
"Rachicladosporium",0
"Ramichloridium",0
"Ramularia",0.005776779
"Rasamsonia",1.783983394
"Resinicium",16.720910039
"Resupinatus",0.004502562
"Rhexocercosporidium",0.225788179
"Rhinocladiella",0.008790708
"Rhodosporidium",0
"Rhodotorula",26.94963768
"Rhynchosporium",0.013070187
"Rigidoporus",9.518711926
"Rutstroemia",0
"Saccharomyces",854.256758603
"Sagenomella",0
"Sarcodon",0.000244028
"Sarcostroma",0.001837087
"Sarocladium",36.165257261
"Scedosporium",1.313233875
"Scheffersomyces",0.089923608
"Schizophyllum",46.512557037
"Schizopora",1.231158979
"Schwanniomyces",0.773218809
"Scleromitrula",0.036600428
"Sclerotinia",0
"Scopuloides",4.649022703
"Sebacina",0.327232966
"Selenophoma",0.002095368
"Sepedonium",0
"Septoria",0.000348034
"Setophaeosphaeria",0
"Shiraia",0.013560723
"Sidera",0.024282847
"Simplicillium",30.220895906
"Sistotrema",0
"Sistotremastrum",0.427875809
"Skeletocutis",0.048642169
"Sporobolomyces",14.77359313
"Stachybotrys",0.017371556
"Stagonosporopsis",0.110610568
"Stemphylium",1.296264126
"Stereum",0.010780124
"Sterigmatomyces",12.228939993
"Stomiopeltis",0.006435486
"Streptobotrys",0.045021433
"Subplenodomus",0.013142239
"Subulicystidium",0.584973088
"Talaromyces",3.48617776
"Teratosphaeria",0.008088526
"Termitomyces",0.04786934
"Thamnidium",0
"Thanatephorus",0.002962212
"Thelephora",0.009609379
"Theleporus",5.208746277
"Thermomyces",0.040736507
"Tinctoporellus",1.294891594
"Tomentella",1.453952768
"Toxicocladosporium",0.551044258
"Trametes",8.578823503
"Trechispora",1.015676952
"Trematosphaeria",0.000378161
"Trichoderma",1.996740534
"Trichophyton",0
"Trichosporon",94.559212945
"Trimmatostroma",0.017622523
"Trimmatothelopsis",0.002419744
"Triplosphaeria",0
"Tropicoporus",1.014192778
"Tubaria",0.001200794
"Tylospora",1.916081861
"Udeniomyces",15.451496752
"Umbilicaria",0.002042298
"Uncispora",0.001408817
"unidentified",980.535906312
"Valdensinia",0.000528421
"Venturia",0.002818688
"Veronaea",0.016030803
"Verrucisporota",0.006217833
"Verrucoconiothyrium",0
"Verticillium",0.005463051
"Volutella",0.088797836
"Volvariella",0.007397778
"Vuilleminia",0.027365884
"Waitea",0.002690924
"Wallemia",1.0058151
"Wickerhamomyces",0.235173001
"Wrightoporia",0.007464773
"Xenasmatella",0.090381888
"Xenopolyscytalum",0.000649293
"Xerochrysium",0.802828964
"Xylaria",0.162276316
"Xylodon",2.380427918
"Yamadazyma",0.392423896
"Yarrowia",15.855397802
"Yuchengia",0.000418819
"Zasmidium",1.686803219
"Zygosaccharomyces",0.107709712
"Zymoseptoria",0.711094028
